Academic Year,University,Level of study,Employment Situation,Occupation,Number of Graduates
2009/10,City University of Hong Kong,Undergraduate,FT employment,Clerical and Related Workers,82
2009/10,City University of Hong Kong,Undergraduate,FT employment,Economists | Statisticians and Mathematicians,30
2009/10,City University of Hong Kong,Undergraduate,FT employment,Engineering Technicians,40
2009/10,City University of Hong Kong,Undergraduate,FT employment,Engineers,130
2009/10,City University of Hong Kong,Undergraduate,FT employment,Government Officials (General Grades),3
2009/10,City University of Hong Kong,Undergraduate,FT employment,Insurance | Real Estate | and Business Services,37
2009/10,City University of Hong Kong,Undergraduate,FT employment,Legal Workers,7
2009/10,City University of Hong Kong,Undergraduate,FT employment,Managers,39
2009/10,City University of Hong Kong,Undergraduate,FT employment,Medical and Health Workers,3
2009/10,City University of Hong Kong,Undergraduate,FT employment,Other Professionals and Technical Workers,79
2009/10,City University of Hong Kong,Undergraduate,FT employment,Other Service Workers,20
2009/10,City University of Hong Kong,Undergraduate,FT employment,Physical and Life Science Technicians,16
2009/10,City University of Hong Kong,Undergraduate,FT employment,Physical and Life Scientists,2
2009/10,City University of Hong Kong,Undergraduate,FT employment,Production and Related Workers,5
2009/10,City University of Hong Kong,Undergraduate,FT employment,Protective Service Workers,11
2009/10,City University of Hong Kong,Undergraduate,FT employment,Sales/Service Workers,59
2009/10,City University of Hong Kong,Undergraduate,FT employment,System Analysts and Computer Programmers,186
2009/10,City University of Hong Kong,Undergraduate,FT employment,Teaching Profession,147
2009/10,City University of Hong Kong,Undergraduate,FT employment,Workers not reporting any occupation,30
2009/10,City University of Hong Kong,Undergraduate,Further studies,Not in Full-time Employment,189
2009/10,City University of Hong Kong,Undergraduate,Others,Not in Full-time Employment,22
2009/10,City University of Hong Kong,Undergraduate,Underemployed,Not in Full-time Employment,70
2009/10,City University of Hong Kong,Undergraduate,Unemployed,Not in Full-time Employment,24
2009/10,Hong Kong Baptist University,Research postgraduate,FT employment,Business Professionals,4
2009/10,Hong Kong Baptist University,Research postgraduate,FT employment,Economists | Statisticians and Mathematicians,1
""
2009/10,Hong Kong Baptist University,Research postgraduate,FT employment,Engineering Technicians,1
2009/10,Hong Kong Baptist University,Research postgraduate,FT employment,Medical and Health Workers,2
2009/10,Hong Kong Baptist University,Research postgraduate,FT employment,Other Professionals and Technical Workers,1
2009/10,Hong Kong Baptist University,Research postgraduate,FT employment,Physical and Life Science Technicians,7
2009/10,Hong Kong Baptist University,Research postgraduate,FT employment,Teaching Profession,10
2009/10,Hong Kong Baptist University,Research postgraduate,FT employment,Workers not reporting any occupation,1
2009/10,Hong Kong Baptist University,Research postgraduate,FT employment,Workers reporting occupations unidentifiable or inadequately described,1
2009/10,Hong Kong Baptist University,Research postgraduate,Further studies,Not in Full-time Employment,11
2009/10,Hong Kong Baptist University,Research postgraduate,Others,Not in Full-time Employment,10
2009/10,Hong Kong Baptist University,Research postgraduate,Underemployed,Not in Full-time Employment,1
2009/10,Hong Kong Baptist University,Research postgraduate,Unemployed,Not in Full-time Employment,1
2009/10,Hong Kong Baptist University,Taught postgraduate,FT employment,Business Professionals,1
2009/10,Hong Kong Baptist University,Taught postgraduate,FT employment,Other Professionals and Technical Workers,1
2009/10,Hong Kong Baptist University,Taught postgraduate,FT employment,Teaching Profession,20
2009/10,Hong Kong Baptist University,Taught postgraduate,Others,Not in Full-time Employment,1
2009/10,Hong Kong Baptist University,Taught postgraduate,Underemployed,Not in Full-time Employment,2
2009/10,Hong Kong Baptist University,Undergraduate,FT employment,Accountants and Auditors,68
2009/10,Hong Kong Baptist University,Undergraduate,FT employment,Agriculture and Fishery Workers,1
2009/10,Hong Kong Baptist University,Undergraduate,FT employment,Architects and Surveyors,2
2009/10,Hong Kong Baptist University,Undergraduate,FT employment,Artists,43
2009/10,Hong Kong Baptist University,Undergraduate,FT employment,Authors | Journalists and Related Writers,106
2009/10,Hong Kong Baptist University,Undergraduate,FT employment,Business Professionals,374
2009/10,Hong Kong Baptist University,Undergraduate,FT employment,Clerical and Related Workers,39
2009/10,Hong Kong Baptist University,Undergraduate,FT employment,Economists | Statisticians and Mathematicians,13
2009/10,Hong Kong Baptist University,Undergraduate,FT employment,Engineering Technicians,3
2009/10,Hong Kong Baptist University,Undergraduate,FT employment,Engineers,6
2009/10,Hong Kong Baptist University,Undergraduate,FT employment,Government Administrators and Diplomats,2
2009/10,Hong Kong Baptist University,Undergraduate,FT employment,Government Officials (General Grades),1
2009/10,Hong Kong Baptist University,Undergraduate,FT employment,Insurance | Real Estate | and Business Services,7
2009/10,Hong Kong Baptist University,Undergraduate,FT employment,Legal Workers,1
2009/10,Hong Kong Baptist University,Undergraduate,FT employment,Managers,13
2009/10,Hong Kong Baptist University,Undergraduate,FT employment,Medical and Health Workers,37
2009/10,Hong Kong Baptist University,Undergraduate,FT employment,Occupations not elsewhere classified,9
2009/10,Hong Kong Baptist University,Undergraduate,FT employment,Other Professionals and Technical Workers,85
2009/10,Hong Kong Baptist University,Undergraduate,FT employment,Other Service Workers,15
2009/10,Hong Kong Baptist University,Undergraduate,FT employment,Physical and Life Science Technicians,20
2009/10,Hong Kong Baptist University,Undergraduate,FT employment,Physical and Life Scientists,3
2009/10,Hong Kong Baptist University,Undergraduate,FT employment,Production and Related Workers,2
2009/10,Hong Kong Baptist University,Undergraduate,FT employment,Protective Service Workers,15
2009/10,Hong Kong Baptist University,Undergraduate,FT employment,Religious Workers,1
2009/10,Hong Kong Baptist University,Undergraduate,FT employment,Sales/Service Workers,39
2009/10,Hong Kong Baptist University,Undergraduate,FT employment,System Analysts and Computer Programmers,49
2009/10,Hong Kong Baptist University,Undergraduate,FT employment,Teaching Profession,159
2009/10,Hong Kong Baptist University,Undergraduate,FT employment,Workers not reporting any occupation,34
2009/10,Hong Kong Baptist University,Undergraduate,FT employment,Workers reporting occupations unidentifiable or inadequately described,20
2009/10,Hong Kong Baptist University,Undergraduate,Further studies,Not in Full-time Employment,204
2009/10,Hong Kong Baptist University,Undergraduate,Others,Not in Full-time Employment,33
2009/10,Hong Kong Baptist University,Undergraduate,Underemployed,Not in Full-time Employment,61
2009/10,Hong Kong Baptist University,Undergraduate,Unemployed,Not in Full-time Employment,16
2009/10,Lingnan University,Research postgraduate,FT employment,Teaching Profession,2
2009/10,Lingnan University,Research postgraduate,Further studies,Not in Full-time Employment,6
2009/10,Lingnan University,Research postgraduate,Others,Not in Full-time Employment,2
2009/10,Lingnan University,Research postgraduate,Underemployed,Not in Full-time Employment,1
2009/10,Lingnan University,Research postgraduate,Unemployed,Not in Full-time Employment,2
2009/10,Lingnan University,Undergraduate,FT employment,Accountants and Auditors,63
2009/10,Lingnan University,Undergraduate,FT employment,Artists,6
2009/10,Lingnan University,Undergraduate,FT employment,Authors | Journalists and Related Writers,28
2009/10,Lingnan University,Undergraduate,FT employment,Business Professionals,335
2009/10,Lingnan University,Undergraduate,FT employment,Clerical and Related Workers,22
2009/10,Lingnan University,Undergraduate,FT employment,Engineering Technicians,1
2009/10,Lingnan University,Undergraduate,FT employment,Government Officials (General Grades),2
2009/10,Lingnan University,Undergraduate,FT employment,Insurance | Real Estate | and Business Services,14
2009/10,Lingnan University,Undergraduate,FT employment,Managers,19
2009/10,Lingnan University,Undergraduate,FT employment,Other Professionals and Technical Workers,7
2009/10,Lingnan University,Undergraduate,FT employment,Other Service Workers,9
2009/10,Lingnan University,Undergraduate,FT employment,Protective Service Workers,8
2009/10,Lingnan University,Undergraduate,FT employment,Sales/Service Workers,13
2009/10,Lingnan University,Undergraduate,FT employment,Teaching Profession,123
2009/10,Lingnan University,Undergraduate,Further studies,Not in Full-time Employment,87
2009/10,Lingnan University,Undergraduate,Others,Not in Full-time Employment,18
2009/10,Lingnan University,Undergraduate,Underemployed,Not in Full-time Employment,25
2009/10,Lingnan University,Undergraduate,Unemployed,Not in Full-time Employment,5
2009/10,The Chinese University of Hong Kong,Research postgraduate,FT employment,Artists,2
2009/10,The Chinese University of Hong Kong,Research postgraduate,FT employment,Authors | Journalists and Related Writers,2
2009/10,The Chinese University of Hong Kong,Research postgraduate,FT employment,Business Professionals,24
2009/10,The Chinese University of Hong Kong,Research postgraduate,FT employment,Economists | Statisticians and Mathematicians,11
2009/10,The Chinese University of Hong Kong,Research postgraduate,FT employment,Engineering Technicians,4
2009/10,The Chinese University of Hong Kong,Research postgraduate,FT employment,Engineers,9
2009/10,The Chinese University of Hong Kong,Research postgraduate,FT employment,Government Officials (General Grades),1
2009/10,The Chinese University of Hong Kong,Research postgraduate,FT employment,Legal Workers,1
2009/10,The Chinese University of Hong Kong,Research postgraduate,FT employment,Managers,2
2009/10,The Chinese University of Hong Kong,Research postgraduate,FT employment,Medical and Health Workers,20
2009/10,The Chinese University of Hong Kong,Research postgraduate,FT employment,Other Professionals and Technical Workers,3
2009/10,The Chinese University of Hong Kong,Research postgraduate,FT employment,Physical and Life Science Technicians,23
2009/10,The Chinese University of Hong Kong,Research postgraduate,FT employment,Physical and Life Scientists,7
2009/10,The Chinese University of Hong Kong,Research postgraduate,FT employment,System Analysts and Computer Programmers,11
2009/10,The Chinese University of Hong Kong,Research postgraduate,FT employment,Teaching Profession,128
2009/10,The Chinese University of Hong Kong,Research postgraduate,FT employment,Workers not reporting any occupation,8
2009/10,The Chinese University of Hong Kong,Research postgraduate,FT employment,Workers reporting occupations unidentifiable or inadequately described,1
2009/10,The Chinese University of Hong Kong,Research postgraduate,Further studies,Not in Full-time Employment,53
2009/10,The Chinese University of Hong Kong,Research postgraduate,Others,Not in Full-time Employment,36
2009/10,The Chinese University of Hong Kong,Research postgraduate,Underemployed,Not in Full-time Employment,11
2009/10,The Chinese University of Hong Kong,Research postgraduate,Unemployed,Not in Full-time Employment,15
2009/10,The Chinese University of Hong Kong,Taught postgraduate,FT employment,Architects and Surveyors,30
2009/10,The Chinese University of Hong Kong,Taught postgraduate,FT employment,Authors | Journalists and Related Writers,3
2009/10,The Chinese University of Hong Kong,Taught postgraduate,FT employment,Business Professionals,3
2009/10,The Chinese University of Hong Kong,Taught postgraduate,FT employment,Clerical and Related Workers,1
2009/10,The Chinese University of Hong Kong,Taught postgraduate,FT employment,Insurance | Real Estate | and Business Services,1
2009/10,The Chinese University of Hong Kong,Taught postgraduate,FT employment,Legal Workers,17
2009/10,The Chinese University of Hong Kong,Taught postgraduate,FT employment,Managers,2
2009/10,The Chinese University of Hong Kong,Taught postgraduate,FT employment,Other Professionals and Technical Workers,10
2009/10,The Chinese University of Hong Kong,Taught postgraduate,FT employment,System Analysts and Computer Programmers,1
2009/10,The Chinese University of Hong Kong,Taught postgraduate,FT employment,Teaching Profession,137
2009/10,The Chinese University of Hong Kong,Taught postgraduate,Further studies,Not in Full-time Employment,6
2009/10,The Chinese University of Hong Kong,Taught postgraduate,Others,Not in Full-time Employment,2
2009/10,The Chinese University of Hong Kong,Taught postgraduate,Underemployed,Not in Full-time Employment,3
2009/10,The Chinese University of Hong Kong,Taught postgraduate,Unemployed,Not in Full-time Employment,1
2009/10,The Chinese University of Hong Kong,Undergraduate,FT employment,Accountants and Auditors,180
2009/10,The Chinese University of Hong Kong,Undergraduate,FT employment,Aircraft and Ship Officers,1
2009/10,The Chinese University of Hong Kong,Undergraduate,FT employment,Architects and Surveyors,48
2009/10,The Chinese University of Hong Kong,Undergraduate,FT employment,Artists,6
2009/10,The Chinese University of Hong Kong,Undergraduate,FT employment,Authors | Journalists and Related Writers,106
2009/10,The Chinese University of Hong Kong,Undergraduate,FT employment,Business Professionals,626
2009/10,The Chinese University of Hong Kong,Undergraduate,FT employment,Clerical and Related Workers,26
2009/10,The Chinese University of Hong Kong,Undergraduate,FT employment,Economists | Statisticians and Mathematicians,59
2009/10,The Chinese University of Hong Kong,Undergraduate,FT employment,Engineering Technicians,25
2009/10,The Chinese University of Hong Kong,Undergraduate,FT employment,Engineers,46
2009/10,The Chinese University of Hong Kong,Undergraduate,FT employment,Government Officials (General Grades),20
2009/10,The Chinese University of Hong Kong,Undergraduate,FT employment,Insurance | Real Estate | and Business Services,21
2009/10,The Chinese University of Hong Kong,Undergraduate,FT employment,Legal Workers,8
2009/10,The Chinese University of Hong Kong,Undergraduate,FT employment,Managers,27
2009/10,The Chinese University of Hong Kong,Undergraduate,FT employment,Medical and Health Workers,338
2009/10,The Chinese University of Hong Kong,Undergraduate,FT employment,Other Professionals and Technical Workers,59
2009/10,The Chinese University of Hong Kong,Undergraduate,FT employment,Other Service Workers,2
2009/10,The Chinese University of Hong Kong,Undergraduate,FT employment,Physical and Life Science Technicians,21
2009/10,The Chinese University of Hong Kong,Undergraduate,FT employment,Physical and Life Scientists,14
2009/10,The Chinese University of Hong Kong,Undergraduate,FT employment,Production and Related Workers,1
2009/10,The Chinese University of Hong Kong,Undergraduate,FT employment,Protective Service Workers,30
2009/10,The Chinese University of Hong Kong,Undergraduate,FT employment,Religious Workers,2
2009/10,The Chinese University of Hong Kong,Undergraduate,FT employment,Sales/Service Workers,18
2009/10,The Chinese University of Hong Kong,Undergraduate,FT employment,System Analysts and Computer Programmers,164
2009/10,The Chinese University of Hong Kong,Undergraduate,FT employment,Teaching Profession,259
2009/10,The Chinese University of Hong Kong,Undergraduate,FT employment,Workers not reporting any occupation,12
2009/10,The Chinese University of Hong Kong,Undergraduate,FT employment,Workers reporting occupations unidentifiable or inadequately described,7
2009/10,The Chinese University of Hong Kong,Undergraduate,Further studies,Not in Full-time Employment,488
2009/10,The Chinese University of Hong Kong,Undergraduate,Others,Not in Full-time Employment,63
2009/10,The Chinese University of Hong Kong,Undergraduate,Underemployed,Not in Full-time Employment,36
2009/10,The Chinese University of Hong Kong,Undergraduate,Unemployed,Not in Full-time Employment,74
2009/10,The Education University of Hong Kong,Sub-degree,FT employment,Clerical and Related Workers,1
2009/10,The Education University of Hong Kong,Sub-degree,FT employment,Teaching Profession,68
2009/10,The Education University of Hong Kong,Sub-degree,FT employment,Workers reporting occupations unidentifiable or inadequately described,1
2009/10,The Education University of Hong Kong,Sub-degree,Others,Not in Full-time Employment,1
2009/10,The Education University of Hong Kong,Sub-degree,Underemployed,Not in Full-time Employment,5
2009/10,The Education University of Hong Kong,Taught postgraduate,FT employment,Accountants and Auditors,1
2009/10,The Education University of Hong Kong,Taught postgraduate,FT employment,Authors | Journalists and Related Writers,1
2009/10,The Education University of Hong Kong,Taught postgraduate,FT employment,Business Professionals,5
2009/10,The Education University of Hong Kong,Taught postgraduate,FT employment,Clerical and Related Workers,1
2009/10,The Education University of Hong Kong,Taught postgraduate,FT employment,Other Professionals and Technical Workers,4
2009/10,The Education University of Hong Kong,Taught postgraduate,FT employment,Other Service Workers,1
2009/10,The Education University of Hong Kong,Taught postgraduate,FT employment,Protective Service Workers,1
2009/10,The Education University of Hong Kong,Taught postgraduate,FT employment,Sales/Service Workers,1
2009/10,The Education University of Hong Kong,Taught postgraduate,FT employment,Teaching Profession,182
2009/10,The Education University of Hong Kong,Taught postgraduate,FT employment,Workers not reporting any occupation,3
2009/10,The Education University of Hong Kong,Taught postgraduate,FT employment,Workers reporting occupations unidentifiable or inadequately described,1
2009/10,The Education University of Hong Kong,Taught postgraduate,Further studies,Not in Full-time Employment,2
2009/10,The Education University of Hong Kong,Taught postgraduate,Others,Not in Full-time Employment,3
2009/10,The Education University of Hong Kong,Taught postgraduate,Underemployed,Not in Full-time Employment,10
2009/10,The Education University of Hong Kong,Undergraduate,FT employment,Artists,1
2009/10,The Education University of Hong Kong,Undergraduate,FT employment,Authors | Journalists and Related Writers,2
2009/10,The Education University of Hong Kong,Undergraduate,FT employment,Business Professionals,5
2009/10,The Education University of Hong Kong,Undergraduate,FT employment,Clerical and Related Workers,5
2009/10,The Education University of Hong Kong,Undergraduate,FT employment,Government Officials (General Grades),1
2009/10,The Education University of Hong Kong,Undergraduate,FT employment,Occupations not elsewhere classified,1
2009/10,The Education University of Hong Kong,Undergraduate,FT employment,Other Professionals and Technical Workers,9
2009/10,The Education University of Hong Kong,Undergraduate,FT employment,Protective Service Workers,1
2009/10,The Education University of Hong Kong,Undergraduate,FT employment,Sales/Service Workers,5
2009/10,The Education University of Hong Kong,Undergraduate,FT employment,Teaching Profession,373
2009/10,The Education University of Hong Kong,Undergraduate,FT employment,Workers not reporting any occupation,3
2009/10,The Education University of Hong Kong,Undergraduate,FT employment,Workers reporting occupations unidentifiable or inadequately described,3
2009/10,The Education University of Hong Kong,Undergraduate,Further studies,Not in Full-time Employment,26
2009/10,The Education University of Hong Kong,Undergraduate,Others,Not in Full-time Employment,5
2009/10,The Education University of Hong Kong,Undergraduate,Underemployed,Not in Full-time Employment,14
2009/10,The Hong Kong Polytechnic University,Research postgraduate,FT employment,Authors | Journalists and Related Writers,1
2009/10,The Hong Kong Polytechnic University,Research postgraduate,FT employment,Business Professionals,4
2009/10,The Hong Kong Polytechnic University,Research postgraduate,FT employment,Economists | Statisticians and Mathematicians,20
2009/10,The Hong Kong Polytechnic University,Research postgraduate,FT employment,Engineers,7
2009/10,The Hong Kong Polytechnic University,Research postgraduate,FT employment,Managers,1
2009/10,The Hong Kong Polytechnic University,Research postgraduate,FT employment,Medical and Health Workers,2
2009/10,The Hong Kong Polytechnic University,Research postgraduate,FT employment,Physical and Life Science Technicians,2
2009/10,The Hong Kong Polytechnic University,Research postgraduate,FT employment,Teaching Profession,11
2009/10,The Hong Kong Polytechnic University,Research postgraduate,Further studies,Not in Full-time Employment,7
2009/10,The Hong Kong Polytechnic University,Research postgraduate,Others,Not in Full-time Employment,39
2009/10,The Hong Kong Polytechnic University,Research postgraduate,Unemployed,Not in Full-time Employment,2
2009/10,The Hong Kong Polytechnic University,Sub-degree,FT employment,Accountants and Auditors,1
2009/10,The Hong Kong Polytechnic University,Sub-degree,FT employment,Architects and Surveyors,26
2009/10,The Hong Kong Polytechnic University,Sub-degree,FT employment,Artists,33
2009/10,The Hong Kong Polytechnic University,Sub-degree,FT employment,Authors | Journalists and Related Writers,3
2009/10,The Hong Kong Polytechnic University,Sub-degree,FT employment,Business Professionals,77
2009/10,The Hong Kong Polytechnic University,Sub-degree,FT employment,Clerical and Related Workers,6
2009/10,The Hong Kong Polytechnic University,Sub-degree,FT employment,Engineering Technicians,9
2009/10,The Hong Kong Polytechnic University,Sub-degree,FT employment,Engineers,28
2009/10,The Hong Kong Polytechnic University,Sub-degree,FT employment,Insurance | Real Estate | and Business Services,4
2009/10,The Hong Kong Polytechnic University,Sub-degree,FT employment,Medical and Health Workers,87
2009/10,The Hong Kong Polytechnic University,Sub-degree,FT employment,Other Professionals and Technical Workers,23
2009/10,The Hong Kong Polytechnic University,Sub-degree,FT employment,Other Service Workers,11
2009/10,The Hong Kong Polytechnic University,Sub-degree,FT employment,Physical and Life Science Technicians,9
2009/10,The Hong Kong Polytechnic University,Sub-degree,FT employment,Protective Service Workers,2
2009/10,The Hong Kong Polytechnic University,Sub-degree,FT employment,Sales/Service Workers,11
2009/10,The Hong Kong Polytechnic University,Sub-degree,FT employment,System Analysts and Computer Programmers,3
2009/10,The Hong Kong Polytechnic University,Sub-degree,FT employment,Teaching Profession,3
2009/10,The Hong Kong Polytechnic University,Sub-degree,Further studies,Not in Full-time Employment,616
2009/10,The Hong Kong Polytechnic University,Sub-degree,Others,Not in Full-time Employment,8
2009/10,The Hong Kong Polytechnic University,Sub-degree,Underemployed,Not in Full-time Employment,23
2009/10,The Hong Kong Polytechnic University,Sub-degree,Unemployed,Not in Full-time Employment,19
2009/10,The Hong Kong Polytechnic University,Undergraduate,FT employment,Accountants and Auditors,195
2009/10,The Hong Kong Polytechnic University,Undergraduate,FT employment,Architects and Surveyors,83
2009/10,The Hong Kong Polytechnic University,Undergraduate,FT employment,Artists,137
2009/10,The Hong Kong Polytechnic University,Undergraduate,FT employment,Authors | Journalists and Related Writers,27
2009/10,The Hong Kong Polytechnic University,Undergraduate,FT employment,Business Professionals,619
2009/10,The Hong Kong Polytechnic University,Undergraduate,FT employment,Clerical and Related Workers,14
2009/10,The Hong Kong Polytechnic University,Undergraduate,FT employment,Economists | Statisticians and Mathematicians,63
2009/10,The Hong Kong Polytechnic University,Undergraduate,FT employment,Engineering Technicians,38
2009/10,The Hong Kong Polytechnic University,Undergraduate,FT employment,Engineers,299
2009/10,The Hong Kong Polytechnic University,Undergraduate,FT employment,Government Officials (General Grades),5
2009/10,The Hong Kong Polytechnic University,Undergraduate,FT employment,Insurance | Real Estate | and Business Services,79
2009/10,The Hong Kong Polytechnic University,Undergraduate,FT employment,Managers,1
2009/10,The Hong Kong Polytechnic University,Undergraduate,FT employment,Medical and Health Workers,311
2009/10,The Hong Kong Polytechnic University,Undergraduate,FT employment,Other Professionals and Technical Workers,86
2009/10,The Hong Kong Polytechnic University,Undergraduate,FT employment,Other Service Workers,60
2009/10,The Hong Kong Polytechnic University,Undergraduate,FT employment,Physical and Life Science Technicians,37
2009/10,The Hong Kong Polytechnic University,Undergraduate,FT employment,Physical and Life Scientists,4
2009/10,The Hong Kong Polytechnic University,Undergraduate,FT employment,Protective Service Workers,6
2009/10,The Hong Kong Polytechnic University,Undergraduate,FT employment,Religious Workers,1
2009/10,The Hong Kong Polytechnic University,Undergraduate,FT employment,Sales/Service Workers,47
2009/10,The Hong Kong Polytechnic University,Undergraduate,FT employment,System Analysts and Computer Programmers,139
2009/10,The Hong Kong Polytechnic University,Undergraduate,FT employment,Teaching Profession,47
2009/10,The Hong Kong Polytechnic University,Undergraduate,Further studies,Not in Full-time Employment,175
2009/10,The Hong Kong Polytechnic University,Undergraduate,Others,Not in Full-time Employment,118
2009/10,The Hong Kong Polytechnic University,Undergraduate,Underemployed,Not in Full-time Employment,69
2009/10,The Hong Kong Polytechnic University,Undergraduate,Unemployed,Not in Full-time Employment,87
2009/10,The Hong Kong University of Science and Technology,Research postgraduate,FT employment,Accountants and Auditors,1
2009/10,The Hong Kong University of Science and Technology,Research postgraduate,FT employment,Business Professionals,11
2009/10,The Hong Kong University of Science and Technology,Research postgraduate,FT employment,Economists | Statisticians and Mathematicians,1
2009/10,The Hong Kong University of Science and Technology,Research postgraduate,FT employment,Engineering Technicians,2
2009/10,The Hong Kong University of Science and Technology,Research postgraduate,FT employment,Engineers,27
2009/10,The Hong Kong University of Science and Technology,Research postgraduate,FT employment,Legal Workers,1
2009/10,The Hong Kong University of Science and Technology,Research postgraduate,FT employment,Managers,4
2009/10,The Hong Kong University of Science and Technology,Research postgraduate,FT employment,Other Professionals and Technical Workers,1
2009/10,The Hong Kong University of Science and Technology,Research postgraduate,FT employment,Physical and Life Science Technicians,1
2009/10,The Hong Kong University of Science and Technology,Research postgraduate,FT employment,Physical and Life Scientists,3
2009/10,The Hong Kong University of Science and Technology,Research postgraduate,FT employment,System Analysts and Computer Programmers,13
2009/10,The Hong Kong University of Science and Technology,Research postgraduate,FT employment,Teaching Profession,75
2009/10,The Hong Kong University of Science and Technology,Research postgraduate,FT employment,Workers not reporting any occupation,25
2009/10,The Hong Kong University of Science and Technology,Research postgraduate,Further studies,Not in Full-time Employment,36
2009/10,The Hong Kong University of Science and Technology,Research postgraduate,Others,Not in Full-time Employment,29
2009/10,The Hong Kong University of Science and Technology,Research postgraduate,Underemployed,Not in Full-time Employment,5
2009/10,The Hong Kong University of Science and Technology,Research postgraduate,Unemployed,Not in Full-time Employment,10
2009/10,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Accountants and Auditors,164
2009/10,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Agriculture and Fishery Workers,1
2009/10,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Aircraft and Ship Officers,4
2009/10,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Architects and Surveyors,4
2009/10,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Authors | Journalists and Related Writers,10
2009/10,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Business Professionals,377
2009/10,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Clerical and Related Workers,28
2009/10,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Economists | Statisticians and Mathematicians,11
2009/10,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Engineering Technicians,28
2009/10,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Engineers,260
2009/10,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Government Administrators and Diplomats,1
2009/10,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Government Officials (General Grades),7
